priority_rank	quality_score	priority_reason	missing_fields	name	type	country	location	bio	current_linkedin	current_email	current_twitter	current_website	current_portfolio	linkedin_query	source_query	email_query	linkedin_to_fill	email_to_fill	website_to_fill	twitter_to_fill	source_url	review_status	notes	id
151	55	operator_or_partner: important but missing contact data	portfolio, twitter_url, website, linkedin_url, email, verified, contact_source	Cristina Mittermeier	angel	Canada	Victoria, BC	Co-founder of SeaLegacy and conservation photographer. Angel in climate and sustainability.						"site:linkedin.com/in ""Cristina Mittermeier"" investor"	"""Cristina Mittermeier"" investor official"	"""Cristina Mittermeier"" email investor"								383ae4e3-43db-4825-986f-c46082a159d1
152	55	operator_or_partner: important but missing contact data	portfolio, twitter_url, website, linkedin_url, email, verified, contact_source	Jennifer Brandel	angel	USA	Chicago, IL	Co-founder of Hearken and Civic Hall. Angel investor in media and civic tech.						"site:linkedin.com/in ""Jennifer Brandel"" investor"	"""Jennifer Brandel"" investor official"	"""Jennifer Brandel"" email investor"								73550ab2-8e17-42a2-8c0d-0f2f24e27d76
153	55	operator_or_partner: important but missing contact data	portfolio, twitter_url, website, linkedin_url, email, verified, contact_source	Neeraj Berry	vc	USA	Los Angeles, CA	Partner at MedMen Ventures. Expert in cannabis and consumer health startups.						"site:linkedin.com/in ""Neeraj Berry"" ""MedMen Ventures"""	"""Neeraj Berry"" ""MedMen Ventures"" investor"	"""Neeraj Berry"" email investor"								c6f2305e-35f6-4d44-86e2-e17de10dd89b
154	55	operator_or_partner: important but missing contact data	portfolio, twitter_url, website, linkedin_url, email, verified, contact_source	Christoph Cemper	angel	Austria	Vienna	Founder of LinkResearchTools. Angel in SEO tech and European SaaS startups.						"site:linkedin.com/in ""Christoph Cemper"" investor"	"""Christoph Cemper"" investor official"	"""Christoph Cemper"" email investor"								d9bda5ac-8f1e-4c9f-a5e2-64a53d9c3ed2
155	55	top_firm_or_brand: important but missing contact data	portfolio, twitter_url, website, linkedin_url, email, verified, contact_source	Brad Bernthal	angel	USA	Boulder, CO	Professor at CU Boulder and Techstars advisor. Expert in startup ecosystems.						"site:linkedin.com/in ""Brad Bernthal"" ""CU Boulder and Techstars advisor"""	"""Brad Bernthal"" ""CU Boulder and Techstars advisor"" investor"	"""Brad Bernthal"" email investor"								4a23c8fa-bf86-424e-a4b3-85daafea99bb
156	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Nat Friedman	angel	USA	San Francisco, CA	Former CEO of GitHub. Co-founder of Xamarin. Active angel in AI and developer tools.			https://twitter.com/natfriedman		GitHub, Xamarin, Hugging Face	"site:linkedin.com/in ""Nat Friedman"" investor"	"""Nat Friedman"" investor official"	"""Nat Friedman"" email investor"								fa0d21c0-c2e7-47af-ace4-f9e45932ad3a
157	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Daniel Ek	angel	Sweden	Stockholm	Co-founder and CEO of Spotify. Active angel investor in music, health, and European tech.			https://twitter.com/eldsjal		Spotify, Primer, Northvolt	"site:linkedin.com/in ""Daniel Ek"" investor"	"""Daniel Ek"" investor official"	"""Daniel Ek"" email investor"								085453cf-d1bf-477c-b559-0f58464d0f5b
158	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Brian Armstrong	angel	USA	San Francisco, CA	Co-founder and CEO of Coinbase. Angel investor in crypto and Web3 startups.			https://twitter.com/brian_armstrong		Coinbase	"site:linkedin.com/in ""Brian Armstrong"" investor"	"""Brian Armstrong"" investor official"	"""Brian Armstrong"" email investor"								66a388a9-29e6-4e3a-84dc-501d2c6f4f6e
159	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Max Levchin	angel	USA	San Francisco, CA	Co-founder of PayPal and Affirm. Active angel investor in fintech and consumer.			https://twitter.com/mlevchin		PayPal, Affirm, Yelp, Slide	"site:linkedin.com/in ""Max Levchin"" investor"	"""Max Levchin"" investor official"	"""Max Levchin"" email investor"								8294fb1d-e78e-4634-b92a-cbff1bc7c73e
160	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Patrick Collison	angel	USA	San Francisco, CA	Co-founder and CEO of Stripe. One of the most respected founders in Silicon Valley.			https://twitter.com/patrickc		Stripe, Figma, Notion, Substack	"site:linkedin.com/in ""Patrick Collison"" investor"	"""Patrick Collison"" investor official"	"""Patrick Collison"" email investor"								698b7164-2bb8-40f7-bf12-849f8d449c22
161	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	John Collison	angel	USA	San Francisco, CA	Co-founder and President of Stripe. Angel investor in fintech and enterprise tools.			https://twitter.com/collision		Stripe, Linear, Figma	"site:linkedin.com/in ""John Collison"" investor"	"""John Collison"" investor official"	"""John Collison"" email investor"								00d26136-35aa-4a16-a2b0-7869cd4ccd01
162	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Tony Xu	angel	USA	San Francisco, CA	Co-founder and CEO of DoorDash. Angel investor in marketplace and logistics startups.			https://twitter.com/t_xu		DoorDash	"site:linkedin.com/in ""Tony Xu"" investor"	"""Tony Xu"" investor official"	"""Tony Xu"" email investor"								3bde84d9-6ac0-4901-96ae-8b1fdf605a59
163	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Nabeel Hyatt	vc	USA	Boston, MA	General Partner at Spark Capital. Led investments in Twitter, Tumblr, Discord, Wayfair.			https://twitter.com/nabeel		Twitter, Tumblr, Discord, Wayfair	"site:linkedin.com/in ""Nabeel Hyatt"" ""Spark Capital"""	"""Nabeel Hyatt"" ""Spark Capital"" investor"	"""Nabeel Hyatt"" email investor"								4d7f67b8-175f-4d2c-bfb3-d204c5997e33
164	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Jeremy Liew	vc	USA	Menlo Park, CA	Partner at Lightspeed. First investor in Snapchat. Expert in consumer, gaming, crypto.			https://twitter.com/jeremyliew		Snapchat, Discord, Calm, Giphy	"site:linkedin.com/in ""Jeremy Liew"" ""Lightspeed"""	"""Jeremy Liew"" ""Lightspeed"" investor"	"""Jeremy Liew"" email investor"								9ac5aef2-384e-494d-8f02-6f58702fe681
165	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Gaurav Gupta	vc	USA	Menlo Park, CA	Partner at Lightspeed. Expert in developer infrastructure and open source. Led investments in Grafana.			https://twitter.com/gg		Grafana, Hasura, Contentful	"site:linkedin.com/in ""Gaurav Gupta"" ""Lightspeed"""	"""Gaurav Gupta"" ""Lightspeed"" investor"	"""Gaurav Gupta"" email investor"								c01c46aa-7380-469f-9173-5040ddd2a01a
166	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Albert Wenger	vc	USA	New York, NY	Managing Partner at USV. Expert in decentralization and climate. Wrote 'World After Capital'.			https://twitter.com/albertwenger		Etsy, Zynga, Tumblr, MongoDB	"site:linkedin.com/in ""Albert Wenger"" ""USV"""	"""Albert Wenger"" ""USV"" investor"	"""Albert Wenger"" email investor"								749f5d03-1ceb-4874-b0f0-d930a72f6581
167	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Suranga Chandratillake	vc	UK	London	General Partner at Balderton Capital. Former founder of Blinkx. Expert in UK/European tech.			https://twitter.com/surangac		Revolut, Depop, Nutmeg	"site:linkedin.com/in ""Suranga Chandratillake"" ""Balderton Capital"""	"""Suranga Chandratillake"" ""Balderton Capital"" investor"	"""Suranga Chandratillake"" email investor"								5f010108-23ca-4b03-85f7-56182bc75691
168	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Pär-Jorgen Parson	vc	Sweden	Stockholm	General Partner at Northzone. Early Klarna investor. Expert in Swedish startup ecosystem.			https://twitter.com/pjparson		Klarna, Spotify, Trustpilot	"site:linkedin.com/in ""Pär-Jorgen Parson"" ""Northzone"""	"""Pär-Jorgen Parson"" ""Northzone"" investor"	"""Pär-Jorgen Parson"" email investor"								3c903740-d3f0-4b4c-a438-f3cbe21d7801
169	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Florian Heinemann	vc	Germany	Berlin	Co-founder of Project A. Former CMO of Zalando. Expert in digital marketing and growth.			https://twitter.com/florianheinemann		HelloFresh, Catawiki	"site:linkedin.com/company ""Florian Heinemann"""	"""Florian Heinemann"" investor official"	"""Florian Heinemann"" email investor"								f6303219-2df5-4e63-8ec0-efa5a465ee15
170	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Jack Dorsey	angel	USA	San Francisco, CA	Co-founder of Twitter and Block (Square). Angel investor in fintech and decentralized tech.			https://twitter.com/jack		Twitter, Square, Bluesky	"site:linkedin.com/in ""Jack Dorsey"" investor"	"""Jack Dorsey"" investor official"	"""Jack Dorsey"" email investor"								555a6836-7174-4fd7-b4c8-11d664a9bb41
171	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Joe Lonsdale	vc	USA	Austin, TX	Co-founder of Palantir and 8VC. Active investor in defense, biotech, and SaaS.			https://twitter.com/joelonsdale		Palantir, Addepar, OpenGov, Joby Aviation	"site:linkedin.com/company ""Joe Lonsdale"""	"""Joe Lonsdale"" investor official"	"""Joe Lonsdale"" email investor"								855598ea-f4ca-44f6-aa85-e0eb00474cc6
172	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Brian Chesky	angel	USA	San Francisco, CA	Co-founder and CEO of Airbnb. Angel investor in consumer and marketplace companies.			https://twitter.com/bchesky		Airbnb	"site:linkedin.com/in ""Brian Chesky"" investor"	"""Brian Chesky"" investor official"	"""Brian Chesky"" email investor"								6273b5f7-9c4d-424b-8d51-f2d706186ea4
173	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Melanie Perkins	angel	Australia	Sydney	Co-founder and CEO of Canva. Angel investor in design and creator tools.			https://twitter.com/melanieperkins		Canva	"site:linkedin.com/in ""Melanie Perkins"" investor"	"""Melanie Perkins"" investor official"	"""Melanie Perkins"" email investor"								91b3d109-0cee-4522-afe7-f03f2d49a8f6
174	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Mike Cannon-Brookes	angel	Australia	Sydney	Co-founder of Atlassian. Active angel in Australian tech and climate.			https://twitter.com/mcannonbrookes		Atlassian, Grok Academy, Zoom	"site:linkedin.com/in ""Mike Cannon-Brookes"" investor"	"""Mike Cannon-Brookes"" investor official"	"""Mike Cannon-Brookes"" email investor"								8e469c1a-5310-43aa-abaa-c304885087cc
175	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Stewart Butterfield	angel	USA	San Francisco, CA	Co-founder of Slack and Flickr. Angel investor in collaboration and consumer tools.			https://twitter.com/stewart		Slack, Flickr	"site:linkedin.com/in ""Stewart Butterfield"" investor"	"""Stewart Butterfield"" investor official"	"""Stewart Butterfield"" email investor"								07581d61-4f3b-4e2c-bf09-6f6e85ea9174
176	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Eric Yuan	angel	USA	San Jose, CA	Founder and CEO of Zoom. Angel investor in video communication and enterprise tools.			https://twitter.com/ericsyuan		Zoom	"site:linkedin.com/in ""Eric Yuan"" investor"	"""Eric Yuan"" investor official"	"""Eric Yuan"" email investor"								4721987c-e080-4263-9b9a-f5d0945a0f2b
177	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Fred Ehrsam	vc	USA	San Francisco, CA	Co-founder of Coinbase and Paradigm. Leading crypto-native VC with $2.5B fund.			https://twitter.com/fehrsam		Coinbase, FTX, Uniswap, dYdX	"site:linkedin.com/company ""Fred Ehrsam"""	"""Fred Ehrsam"" investor official"	"""Fred Ehrsam"" email investor"								053b94c0-33ed-4ff2-adaa-1a58a3cf6c61
178	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Olaf Carlson-Wee	vc	USA	San Francisco, CA	Founder of Polychain Capital. First employee at Coinbase. Pioneer crypto hedge fund manager.			https://twitter.com/olafcw		Coinbase, Dfinity, Compound	"site:linkedin.com/in ""Olaf Carlson-Wee"" ""Coinbase"""	"""Olaf Carlson-Wee"" ""Coinbase"" investor"	"""Olaf Carlson-Wee"" email investor"								8d0cfac6-021e-4f47-9aa2-25fa39e5a16b
179	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Nandan Nilekani	angel	India	Bengaluru	Co-founder of Infosys. Founder of Aadhaar. Active investor in Indian fintech and AI.			https://twitter.com/NandanNilekani		Infosys, Artoo, Uniphore	"site:linkedin.com/in ""Nandan Nilekani"" investor"	"""Nandan Nilekani"" investor official"	"""Nandan Nilekani"" email investor"								5d98bbb0-fae1-46fc-be21-42ea217af358
180	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Noubar Afeyan	vc	USA	Cambridge, MA	Co-founder of Moderna and Flagship Pioneering. Builds breakthrough biotech companies.			https://twitter.com/noubarafeyan		Moderna, Invaio, Generate:Biomedicines	"site:linkedin.com/company ""Noubar Afeyan"""	"""Noubar Afeyan"" investor official"	"""Noubar Afeyan"" email investor"								ad0a6044-e43c-4b9f-8742-6b7d87b09781
181	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Deborah Quazzo	vc	USA	Chicago, IL	Managing Partner at GSV Ventures. Pioneer in edtech investing. Chair of ASU+GSU Summit.			https://twitter.com/dquazzo		Coursera, Duolingo, Guild Education	"site:linkedin.com/in ""Deborah Quazzo"" ""GSV Ventures"""	"""Deborah Quazzo"" ""GSV Ventures"" investor"	"""Deborah Quazzo"" email investor"								227a19ba-8a5d-4343-9990-7e7af71cfe34
182	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Josh Wolfe	vc	USA	New York, NY	Co-founder of Lux Capital. Expert in science-driven deep tech and frontier technology.			https://twitter.com/wolfejosh		Zoox, Orbital Insight, Anduril	"site:linkedin.com/company ""Josh Wolfe"""	"""Josh Wolfe"" investor official"	"""Josh Wolfe"" email investor"								065c6bdd-2a0f-44cd-9b71-1302dfc6db23
183	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Frank Rotman	vc	USA	Alexandria, VA	Co-founder of QED Investors. Former Capital One. Leading fintech VC.			https://twitter.com/fintechjunkie		Credit Karma, SoFi, Avant, Nubank	"site:linkedin.com/company ""Frank Rotman"""	"""Frank Rotman"" investor official"	"""Frank Rotman"" email investor"								b25dfd2b-7ff1-4156-9f63-61c7e2367d5c
184	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	James Wise	vc	UK	London	Partner at Balderton Capital. Expert in deep tech, AI, and health. Led investments in Hinge Health.			https://twitter.com/jameswise		Hinge Health, Yoyo Wallet	"site:linkedin.com/in ""James Wise"" ""Balderton Capital"""	"""James Wise"" ""Balderton Capital"" investor"	"""James Wise"" email investor"								0de48618-b948-4983-acc2-c837017adaee
185	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Neeraj Agrawal	vc	USA	Menlo Park, CA	General Partner at Battery Ventures. SaaS growth expert. Led investments in Bazaarvoice, ExactTarget.			https://twitter.com/neerajagrawal		Bazaarvoice, ExactTarget, Groupon	"site:linkedin.com/in ""Neeraj Agrawal"" ""Battery Ventures"""	"""Neeraj Agrawal"" ""Battery Ventures"" investor"	"""Neeraj Agrawal"" email investor"								232c8259-2bc0-46d3-b940-b9d9c709887e
186	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Dana Stalder	vc	USA	San Francisco, CA	General Partner at Matrix Partners. Consumer and marketplace expert. Led investments in Lyft.			https://twitter.com/danastalder		Lyft, Zendesk, HubSpot	"site:linkedin.com/in ""Dana Stalder"" ""Matrix Partners"""	"""Dana Stalder"" ""Matrix Partners"" investor"	"""Dana Stalder"" email investor"								f646f92c-c5fb-4468-bdae-3c45f0e52992
187	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Ev Williams	vc	USA	San Francisco, CA	Co-founder of Twitter, Blogger, Medium. Founder of Obvious Ventures. Impact and consumer investor.			https://twitter.com/ev		Twitter, Medium, Bloom Energy, Beyond Meat	"site:linkedin.com/company ""Ev Williams"""	"""Ev Williams"" investor official"	"""Ev Williams"" email investor"								dbba8f5f-0f35-4214-88e2-66201942ca95
188	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Tom Tunguz	vc	USA	San Francisco, CA	General Partner at Theory Ventures. Former Redpoint. Data-driven VC. Author of influential SaaS blog.			https://twitter.com/ttunguz		Looker, Kustomer, Expensify	"site:linkedin.com/in ""Tom Tunguz"" ""Theory Ventures"""	"""Tom Tunguz"" ""Theory Ventures"" investor"	"""Tom Tunguz"" email investor"								fd09f5e7-f50c-4d9b-8588-4daf9c4235f8
189	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Joe Floyd	vc	USA	San Mateo, CA	Partner at Emergence Capital. Expert in cloud and B2B AI applications.			https://twitter.com/joefloyd		Donut, Textio	"site:linkedin.com/in ""Joe Floyd"" ""Emergence Capital"""	"""Joe Floyd"" ""Emergence Capital"" investor"	"""Joe Floyd"" email investor"								f9f44633-6e75-4df2-9360-501acbdf721d
190	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Jos White	vc	UK	London	Partner at Notion Capital. B2B SaaS specialist for European companies. Led investments in MessageLabs.			https://twitter.com/joswhite		MessageLabs, Currency Cloud	"site:linkedin.com/in ""Jos White"" ""Notion Capital"""	"""Jos White"" ""Notion Capital"" investor"	"""Jos White"" email investor"								77c05e6b-bcf3-40cc-b6d4-9aec1c27261c
191	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Bob Kocher	vc	USA	Menlo Park, CA	Partner at Venrock. Former Obama White House health advisor. Digital health specialist.			https://twitter.com/bkocher		Livongo, Grand Rounds	"site:linkedin.com/in ""Bob Kocher"" ""Venrock"""	"""Bob Kocher"" ""Venrock"" investor"	"""Bob Kocher"" email investor"								5fc6d155-ba38-47e7-afd9-d976ade4dbbf
192	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Santi Subotovsky	vc	USA	San Mateo, CA	General Partner at Emergence Capital. Expert in cloud AI and enterprise SaaS.			https://twitter.com/ssanto		Veeva, Salesforce, Zoom	"site:linkedin.com/in ""Santi Subotovsky"" ""Emergence Capital"""	"""Santi Subotovsky"" ""Emergence Capital"" investor"	"""Santi Subotovsky"" email investor"								a820098a-29f4-4c0b-8ff7-4468d5fb69bf
193	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Vani Kola	vc	India	Bengaluru	Founder and MD of Kalaari Capital. Pioneer of Indian venture. Backed Snapdeal, Urban Ladder, Cure.fit.			https://twitter.com/vanikola		Snapdeal, Cure.fit, Urban Ladder, SUGAR Cosmetics	"site:linkedin.com/company ""Vani Kola"""	"""Vani Kola"" investor official"	"""Vani Kola"" email investor"								ada378f5-ef5c-4835-9706-b3a25ac4b55d
194	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Marc Benioff	angel	USA	San Francisco, CA	CEO and Co-founder of Salesforce. Investor in enterprise SaaS and cloud companies.			https://twitter.com/benioff		Salesforce, Slack, Tableau	"site:linkedin.com/in ""Marc Benioff"" investor"	"""Marc Benioff"" investor official"	"""Marc Benioff"" email investor"								54a082d0-9324-407c-ad5f-6c8474b1150a
195	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Jake Saper	vc	USA	San Mateo, CA	General Partner at Emergence Capital. Expert in AI-first SaaS and vertical software.			https://twitter.com/jakesaper		Donut, People.ai, Guru	"site:linkedin.com/in ""Jake Saper"" ""Emergence Capital"""	"""Jake Saper"" ""Emergence Capital"" investor"	"""Jake Saper"" email investor"								22081768-d627-4bf0-8781-a83e36d34501
196	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Hans Tung	vc	USA	Menlo Park, CA	Managing Partner at GGV Capital. Expert in US-China cross-border tech investments.			https://twitter.com/hanstung		Xiaomi, Grab, Airbnb, Peloton, Wish	"site:linkedin.com/in ""Hans Tung"" ""GGV Capital"""	"""Hans Tung"" ""GGV Capital"" investor"	"""Hans Tung"" email investor"								cdcefe0d-52ca-4905-8101-ec218f8ca568
197	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Paul Bassat	vc	Australia	Melbourne	Co-founder of Square Peg Capital. Founder of SEEK (AU/NZ job portal). Marketplace expert.			https://twitter.com/paulbassat		Canva, Fiverr	"site:linkedin.com/company ""Paul Bassat"""	"""Paul Bassat"" investor official"	"""Paul Bassat"" email investor"								809287f7-cdda-4fe1-b215-5f8d1ca6bca5
198	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Kyle Samani	vc	USA	Austin, TX	Co-founder of Multicoin Capital. Expert in blockchain, crypto networks, and web3 infrastructure.			https://twitter.com/KyleSamani		Solana, FTX, Helium, The Graph	"site:linkedin.com/company ""Kyle Samani"""	"""Kyle Samani"" investor official"	"""Kyle Samani"" email investor"								b0873935-d049-42f0-be86-2a05a8be8fc6
199	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Tushar Jain	vc	USA	Austin, TX	Co-founder of Multicoin Capital. Expert in crypto protocols and tokenomics.			https://twitter.com/TusharJain_		Solana, Helium, The Graph	"site:linkedin.com/company ""Tushar Jain"""	"""Tushar Jain"" investor official"	"""Tushar Jain"" email investor"								fb1170f5-8d05-45b3-9d92-efc8b27e51c9
200	80	large_check_size: important but missing contact data	website, linkedin_url, email, contact_source	Joel Monegro	vc	USA	New York, NY	Co-founder of Placeholder VC. Created the 'fat protocol' thesis in crypto. Pioneer crypto investor.			https://twitter.com/jmonegro		Filecoin, Decentraland	"site:linkedin.com/company ""Joel Monegro"""	"""Joel Monegro"" investor official"	"""Joel Monegro"" email investor"								22dcfd6b-95b8-4b9a-87ac-db2e830b487b
